,inflexões
Jazz,0.161
Choro,0.236
Samba,0.210
Tom Jobim,0.199
Ivan Lins,0.178
Chico Buarque,0.193
Edu Lobo,0.197
Caetano Veloso,0.217
Djavan,0.180
João Bosco,0.230
Milton Nascimento,0.192
Gilberto Gil,0.196
Rita Lee,0.222
Carlos Lyra,0.221
Dori Caymmi,0.185
Cartola,0.234
Gonzaguinha,0.246
