,RBFs
Jazz,289
Choro,282
Samba,175
Tom Jobim,432
Ivan Lins,311
Chico Buarque,333
Edu Lobo,376
Caetano Veloso,234
Djavan,339
João Bosco,309
Milton Nascimento,279
Gilberto Gil,297
Rita Lee,216
Carlos Lyra,214
Dori Caymmmi,233
Cartola,117
Gonzaguinha,196
